id,original,surface,pronunciation,type,image,image_page,title,org_name,role_in_org,first_year,species,cv_name,description
0,エイリオス,エイリオス,エイリオス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,頭目,1997,human,水野颯洛,蒼天髑髏団頭目の実弟セレス号頭目
1,リュナ,リュナ,リュナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,参謀,1997,human,碧川瑞世,航路設計も担う理知派参謀
2,ギド,ギド,ギド,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,古株,1997,human,守山巧司,null
3,フィオナ,フィオナ,フィオナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0004.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,紅一点,1997,human,新屋園花,髑髏団サビア宿敵少女戦士
4,クラウス,クラウス,クラウス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0005.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2000,beastfolk,白河樹成,クラウスの宿敵女性幹部
5,ネリス,ネリス,ネリス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0006.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2005,human,東雲梨結,null
6,ザック,ザック,ザック,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0007.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,幹部,2002,human,霧峰倖一,髑髏団チビット幼馴染幹部裏切り者
7,マール,マール,マール,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0008.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,幹部,2000,human,松国伍朗,蒼翼団クルーズ元同僚船医
8,エトナ,エトナ,エトナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0009.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2000,other,圷野紗妃,審問庁ミルヴァナと旧知の戦士
9,ユウレイ,ユウレイ,ユウレイ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v1/ac_0010.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v1,蒼穹の螺旋航路,空船団セレスティア号クルー,新入り,2015,machine,青海雷生,イグナリオの兄新機械少年
