id,original,surface,pronunciation,type,image,image_page,title,org_name,role_in_org,first_year,species,cv_name,description
0,野々村 政志,野々村,ののむら,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,父・文房具店店主,2023,human,山川智己,文房具店を切り盛りするおっとり父親
0,野々村 政志,野々村 政志,ののむらまさし,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,父・文房具店店主,2023,human,山川智己,文房具店を切り盛りするおっとり父親
0,野々村 政志,政志,まさし,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,父・文房具店店主,2023,human,山川智己,文房具店を切り盛りするおっとり父親
1,野々村 八重子,野々村,ののむら,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,母・文房具店手伝い,2022,human,遠藤沙夜,斎藤美沙とご近所づきあいの母
1,野々村 八重子,野々村 八重子,ののむらやえこ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,母・文房具店手伝い,2022,human,遠藤沙夜,斎藤美沙とご近所づきあいの母
1,野々村 八重子,八重子,やえこ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,母・文房具店手伝い,2022,human,遠藤沙夜,斎藤美沙とご近所づきあいの母
2,野々村 光太,野々村,ののむら,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,双子の兄・中学2年生,2026,human,久保新吾,篠村菜々子と同級生の優等生、双子兄
2,野々村 光太,野々村 光太,ののむらこうた,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,双子の兄・中学2年生,2026,human,久保新吾,篠村菜々子と同級生の優等生、双子兄
2,野々村 光太,光太,こうた,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,双子の兄・中学2年生,2026,human,久保新吾,篠村菜々子と同級生の優等生、双子兄
3,野々村 小春,野々村,ののむら,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-daily-anime-character-v2/dc_0004.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-daily-anime-character-v2,まちまる！,野々村家,双子の妹・中学2年生,2025,human,本田真奈,大浦悠真と同級生のスポーツ少女
