id,original,surface
0,アフガニスタン,アフガニスタン
1,アルバニア,アルバニア
2,アルジェリア,アルジェリア
3,アンドラ,アンドラ
4,アンゴラ,アンゴラ
5,アルゼンチン,アルゼンチン
6,アルメニア,アルメニア
7,オーストラリア,オーストラリア
8,オーストリア,オーストリア
9,アゼルバイジャン,アゼルバイジャン
10,バハマ,バハマ
11,バーレーン,バーレーン
12,バングラデシュ,バングラデシュ
13,バルバドス,バルバドス
14,ベラルーシ,ベラルーシ
15,ベルギー,ベルギー
16,ベリーズ,ベリーズ
17,ベナン,ベナン
18,ブータン,ブータン
19,ボリビア,ボリビア
20,ボツワナ,ボツワナ
21,ブラジル,ブラジル
22,ブルガリア,ブルガリア
23,ブルンジ,ブルンジ
24,カンボジア,カンボジア
25,カメルーン,カメルーン
26,フランス,フランス
27,ガボン,ガボン
28,ガンビア,ガンビア
29,グルジア,グルジア
30,ドイツ,ドイツ
31,ガーナ,ガーナ
32,ギリシャ,ギリシャ
33,グレナダ,グレナダ
34,グアテマラ,グアテマラ
35,ギニア,ギニア
36,ギニアビサウ,ギニアビサウ
37,ガイアナ,ガイアナ
38,ハイチ,ハイチ
39,ホンジュラス,ホンジュラス
40,ハンガリー,ハンガリー
41,アイスランド,アイスランド
42,インド,インド
43,インドネシア,インドネシア
44,イラン,イラン
45,イラク,イラク
46,アイルランド,アイルランド
47,イスラエル,イスラエル
48,イタリア,イタリア
49,ジャマイカ,ジャマイカ
50,日本,ニホン,ニッポン,ジャパン,日本,ニホン,ニッポン,ジャパン
51,ヨルダン,ヨルダン
52,カザフスタン,カザフスタン
53,ケニア,ケニア
54,キリバス,キリバス
55,クウェート,クウェート
56,キルギスタン,キルギスタン
57,ラトビア,ラトビア
58,レバノン,レバノン
59,レソト,レソト
60,リベリア,リベリア
61,リビア,リビア
62,ポーランド,ポーランド
63,ポルトガル,ポルトガル
64,カタール,カタール
65,ルーマニア,ルーマニア
66,ルワンダ,ルワンダ
67,サモア,サモア
68,セネガル,セネガル
69,セルビア,セルビア
70,セイシェル,セイシェル
71,シンガポール,シンガポール
72,スロバキア,スロバキア
73,スロベニア,スロベニア
74,ソマリア,ソマリア
75,南アフリカ,南アフリカ
76,南スーダン,南スーダン
77,スペイン,スペイン
78,スリランカ,スリランカ
79,スーダン,スーダン
80,スリナム,スリナム
81,スワジランド,スワジランド
82,スウェーデン,スウェーデン
83,スイス,スイス
84,シリア,シリア
85,タジキスタン,タジキスタン
86,タイ,タイ
87,アンティグア・バブーダ,アンティグア・バブーダ
88,ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴビナ
89,ブルネイ,ブルネイ
90,ブルキナファソ,ブルキナファソ
91,ラオス,ラオス
92,韓国,韓国
93,モルドバ,モルドバ
94,ロシア,ロシア
95,セントクリストファー・ネイビス,セントクリストファー・ネイビス
96,セントルシア,セントルシア
97,セントビンセント及びグレナディーン諸島,セントビンセント及びグレナディーン諸島
98,サンマリノ,サンマリノ
99,サントメ・プリンシペ,サントメ・プリンシペ
100,サウジアラビア,サウジアラビア
101,シエラレオネ,シエラレオネ
102,ソロモン,ソロモン
103,カナダ,カナダ
104,カーボベルデ,カーボベルデ
105,中央アフリカ共和国,中央アフリカ共和国
106,チャド,チャド
107,チリ,チリ
108,コロンビア,コロンビア
109,コモロ,コモロ
110,コンゴ,コンゴ
111,コスタリカ,コスタリカ
112,コートジボワール,コートジボワール
113,クロアチア,クロアチア
114,キューバ,キューバ
115,キプロス,キプロス
116,チェコ,チェコ
117,朝鮮民主主義人民共和国,朝鮮民主主義人民共和国
118,コンゴ,コンゴ
119,デンマーク,デンマーク
120,ジブチ,ジブチ
121,ドミニカ,ドミニカ
122,ドミニカ共和国,ドミニカ共和国
123,エジプト,エジプト
124,エルサルバドル,エルサルバドル
125,エリトリア,エリトリア
126,エチオピア,エチオピア
127,フィジー,フィジー
128,フィンランド,フィンランド
129,リヒテンシュタイン,リヒテンシュタイン
130,リトアニア,リトアニア
131,ルクセンブルク,ルクセンブルク
132,マダガスカル,マダガスカル
133,マラウィ,マラウィ
134,マレーシア,マレーシア
135,モルディブ,モルディブ
136,マリ,マリ
137,マルタ,マルタ
138,マーシャル,マーシャル
139,モーリタニア,モーリタニア
140,モーリシャス,モーリシャス
141,メキシコ,メキシコ
142,ミクロネシア,ミクロネシア
143,モナコ,モナコ
144,モンゴル,モンゴル
145,モンテネグロ,モンテネグロ
146,モロッコ,モロッコ
147,モザンビーク,モザンビーク
148,ミャンマー,ミャンマー
149,ナミビア,ナミビア
150,ナウル,ナウル
151,ネパール,ネパール
152,オランダ,オランダ
153,ニュージーランド,ニュージーランド
154,ニカラグア,ニカラグア
155,ニジェール,ニジェール
156,ナイジェリア,ナイジェリア
157,ノルウェー,ノルウェー
158,オマーン,オマーン
159,パキスタン,パキスタン
160,パナマ,パナマ
161,パプア・ニューギニア,パプア・ニューギニア
162,パラグアイ,パラグアイ
163,ペルー,ペルー
164,フィリピン,フィリピン
165,マケドニア,マケドニア
166,東ティモール,東ティモール
167,トーゴ,トーゴ
168,チュニジア,チュニジア
169,トルクメニスタン,トルクメニスタン
170,アラブ首長国連邦,アラブ首長国連邦
171,ウルグアイ,ウルグアイ
172,ウズベキスタン,ウズベキスタン
173,バヌアツ,バヌアツ
174,ベトナム,ベトナム
175,イエメン,イエメン
176,ザンビア,ザンビア
177,中国,中国
178,エクアドル,エクアドル
179,ギニア,ギニア
180,エストニア,エストニア
181,パラオ,パラオ
182,トンガ,トンガ
183,トリニダード・トバゴ,トリニダード・トバゴ
184,トルコ,トルコ
