id,original,surface,pronunciation,type,field1,field2,field3,field4,era,birth_year,nobel,gender,country,status,description,image,image_page
0,チャールズ・キッテル,キッテル,キッテル,family,物理,NA,NA,NA,現代,1916,no,男性,アメリカ合衆国,物故,チャールズ・キッテル（Charles Kittel、1916年7月18日 - 2019年5月15日）は、固体物理学を専門とするアメリカ合衆国の物理学者。,,
0,チャールズ・キッテル,チャールズ・キッテル,チャールズ・キッテル,full,物理,NA,NA,NA,現代,1916,no,男性,アメリカ合衆国,物故,チャールズ・キッテル（Charles Kittel、1916年7月18日 - 2019年5月15日）は、固体物理学を専門とするアメリカ合衆国の物理学者。,,
1,JJサクライ,サクライ,サクライ,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,JJサクライ,JJサクライ,ジェージェーサクライ,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,J・D・ジャクソン,ジャクソン,ジャクソン,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,J・D・ジャクソン,J・D・ジャクソン,ジェーディージャクソン,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,ジョン・ウィリアム・ストラット,レイリー,レイリー,family,物理,化学,数学,NA,近代,1842,yes,男性,グレートブリテン及びアイルランド連合王国,物故,第3代レイリー男爵ジョン・ウィリアム・ストラット（英: John William Strutt、 3rd Baron Rayleigh、1842年11月12日,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Strutt.jpg,https://commons.wikimedia.org/wiki/File:John_William_Strutt.jpg
3,ジョン・ウィリアム・ストラット,ジョン・ウィリアム・ストラット,ストラット,full,物理,化学,数学,NA,近代,1842,yes,男性,グレートブリテン及びアイルランド連合王国,物故,第3代レイリー男爵ジョン・ウィリアム・ストラット（英: John William Strutt、 3rd Baron Rayleigh、1842年11月12日,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Strutt.jpg,https://commons.wikimedia.org/wiki/File:John_William_Strutt.jpg
3,ジョン・ウィリアム・ストラット,ジョン・ウィリアム・ストラット,ジョン・ウィリアム・ストラット,full,物理,化学,数学,NA,近代,1842,yes,男性,グレートブリテン及びアイルランド連合王国,物故,第3代レイリー男爵ジョン・ウィリアム・ストラット（英: John William Strutt、 3rd Baron Rayleigh、1842年11月12日,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Strutt.jpg,https://commons.wikimedia.org/wiki/File:John_William_Strutt.jpg
4,ヘンドリック・ローレンス,ローレンス,ローレンス,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4,ヘンドリック・ローレンス,ヘンドリック・ローレンス,ヘンドリック・ローレンス,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5,ニルス・グスタフ・ダレーン,ダレーン,ダレーン,family,物理,化学,NA,NA,近代,1869,yes,男性,スウェーデン,物故,ニルス・グスタフ・ダレーン（Nils Gustaf Dalén、1869年11月30日 - 1937年12月9日）は、スウェーデンのエンジニア、企業家である。,http://commons.wikimedia.org/wiki/Special:FilePath/Nils%20Gustaf%20Dal%C3%A9n.jpg,https://commons.wikimedia.org/wiki/File:Nils_Gustaf_Dal%C3%A9n.jpg
5,ニルス・グスタフ・ダレーン,ニルス・グスタフ・ダレーン,ニルス・グスタフ・ダレーン,full,物理,化学,NA,NA,近代,1869,yes,男性,スウェーデン,物故,ニルス・グスタフ・ダレーン（Nils Gustaf Dalén、1869年11月30日 - 1937年12月9日）は、スウェーデンのエンジニア、企業家である。,http://commons.wikimedia.org/wiki/Special:FilePath/Nils%20Gustaf%20Dal%C3%A9n.jpg,https://commons.wikimedia.org/wiki/File:Nils_Gustaf_Dal%C3%A9n.jpg
6,ヘイケ・カメルリング・オネス,オネス,オネス,family,物理,NA,NA,NA,近代,1853,yes,男性,オランダ王国,物故,ヘイケ・カメルリング・オネス（Heike Kamerlingh Onnes オランダ語発音: [ˈɦɛikə ˈkaːmərlɪŋ ˈɔnəs]、 1853年9,http://commons.wikimedia.org/wiki/Special:FilePath/Kamerlingh%20portret.jpg,https://commons.wikimedia.org/wiki/File:Kamerlingh_portret.jpg
6,ヘイケ・カメルリング・オネス,ヘイケ・カメルリング・オネス,ヘイケ・カメルリング・オネス,full,物理,NA,NA,NA,近代,1853,yes,男性,オランダ王国,物故,ヘイケ・カメルリング・オネス（Heike Kamerlingh Onnes オランダ語発音: [ˈɦɛikə ˈkaːmərlɪŋ ˈɔnəs]、 1853年9,http://commons.wikimedia.org/wiki/Special:FilePath/Kamerlingh%20portret.jpg,https://commons.wikimedia.org/wiki/File:Kamerlingh_portret.jpg
7,ヘンリー・ブラッグ,ブラッグ,ブラッグ,family,物理,化学,数学,NA,近代,1862,yes,男性,イギリス,物故,サー・ウィリアム・ヘンリー・ブラッグ（Sir William Henry Bragg、1862年7月2日 - 1942年3月12日）は、イギリスの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Wh-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wh-bragg.jpg
7,ヘンリー・ブラッグ,ヘンリー・ブラッグ,ヘンリー・ブラッグ,full,物理,化学,数学,NA,近代,1862,yes,男性,イギリス,物故,サー・ウィリアム・ヘンリー・ブラッグ（Sir William Henry Bragg、1862年7月2日 - 1942年3月12日）は、イギリスの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Wh-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wh-bragg.jpg
8,ローレンス・ブラッグ,ブラッグ,ブラッグ,family,物理,化学,数学,NA,近代,1890,yes,男性,イギリス/オーストラリア,物故,ウィリアム・ローレンス・ブラッグ（William Lawrence Bragg、1890年3月31日 - 1971年7月1日）は、オーストラリア生まれのイギリス,http://commons.wikimedia.org/wiki/Special:FilePath/Wl-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wl-bragg.jpg
8,ローレンス・ブラッグ,ローレンス・ブラッグ,ローレンス・ブラッグ,full,物理,化学,数学,NA,近代,1890,yes,男性,イギリス/オーストラリア,物故,ウィリアム・ローレンス・ブラッグ（William Lawrence Bragg、1890年3月31日 - 1971年7月1日）は、オーストラリア生まれのイギリス,http://commons.wikimedia.org/wiki/Special:FilePath/Wl-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wl-bragg.jpg
9,ヨハネス・シュタルク,シュタルク,シュタルク,family,物理,NA,NA,NA,近代,1874,yes,男性,ドイツ/バイエルン王国,物故,ヨハネス・シュタルク（Johannes Stark、1874年4月15日 - 1957年6月21日)は、ドイツの、バイエルン公国シッケンホーフ（現・フライフンク,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Stark.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Stark.jpg
9,ヨハネス・シュタルク,ヨハネス・シュタルク,ヨハネス・シュタルク,full,物理,NA,NA,NA,近代,1874,yes,男性,ドイツ/バイエルン王国,物故,ヨハネス・シュタルク（Johannes Stark、1874年4月15日 - 1957年6月21日)は、ドイツの、バイエルン公国シッケンホーフ（現・フライフンク,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Stark.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Stark.jpg
10,シャルル・エドワール・ギヨーム,ギヨーム,ギヨーム,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://commons.wikimedia.org/wiki/Special:FilePath/1918_Charles_%C3%89douard_Guillaume.jpg,https://commons.wikimedia.org/wiki/File:1918_Charles_%C3%89douard_Guillaume.jpg
10,シャルル・エドワール・ギヨーム,シャルル・エドワール・ギヨーム,シャルル・エドワール・ギヨーム,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://commons.wikimedia.org/wiki/Special:FilePath/1918_Charles_%C3%89douard_Guillaume.jpg,https://commons.wikimedia.org/wiki/File:1918_Charles_%C3%89douard_Guillaume.jpg
11,アーサー・コンプトン,コンプトン,コンプトン,family,物理,NA,NA,NA,近代,1892,yes,男性,アメリカ合衆国,物故,アーサー・ホーリー・コンプトン（Arthur Holly Compton、 1892年9月10日 - 1962年3月15日）は、アメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Compton%201927.jpg,https://commons.wikimedia.org/wiki/File:Arthur_Compton_1927.jpg
11,アーサー・コンプトン,アーサー・コンプトン,アーサー・コンプトン,full,物理,NA,NA,NA,近代,1892,yes,男性,アメリカ合衆国,物故,アーサー・ホーリー・コンプトン（Arthur Holly Compton、 1892年9月10日 - 1962年3月15日）は、アメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Compton%201927.jpg,https://commons.wikimedia.org/wiki/File:Arthur_Compton_1927.jpg
12,オーエン・リチャードソン,リチャードソン,リチャードソン,family,物理,NA,NA,NA,近代,1879,yes,男性,イギリス,物故,オーエン・リチャードソン（Owen Willans Richardson、1879年4月26日 - 1959年2月15日）はイギリスの物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Richardson.jpg,https://commons.wikimedia.org/wiki/File:Owen_Richardson.jpg
12,オーエン・リチャードソン,オーエン・リチャードソン,オーエン・リチャードソン,full,物理,NA,NA,NA,近代,1879,yes,男性,イギリス,物故,オーエン・リチャードソン（Owen Willans Richardson、1879年4月26日 - 1959年2月15日）はイギリスの物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Richardson.jpg,https://commons.wikimedia.org/wiki/File:Owen_Richardson.jpg
13,フィクトール・フランツ・ヘス,ヘス,ヘス,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,フィクトール・フランツ・ヘス,フィクトール・フランツ・ヘス,フィクトール・フランツ・ヘス,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
14,オットー・シュテルン,シュテルン,シュテルン,family,物理,化学,NA,NA,近代,1888,yes,男性,アメリカ合衆国/ドイツ,物故,オットー・シュテルン（英語ではオットー・スターン、Otto Stern、 1888年2月17日 — 1969年8月17日）は、ドイツ生まれのアメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Stern.jpg,https://commons.wikimedia.org/wiki/File:Otto_Stern.jpg
14,オットー・シュテルン,オットー・シュテルン,オットー・シュテルン,full,物理,化学,NA,NA,近代,1888,yes,男性,アメリカ合衆国/ドイツ,物故,オットー・シュテルン（英語ではオットー・スターン、Otto Stern、 1888年2月17日 — 1969年8月17日）は、ドイツ生まれのアメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Stern.jpg,https://commons.wikimedia.org/wiki/File:Otto_Stern.jpg
15,エドワード・アップルトン,アップルトン,アップルトン,family,物理,天文学,NA,NA,近代,1892,yes,男性,イギリス,物故,エドワード・ヴィクター・アップルトン（Sir Edward Victor Appleton、 1892年9月6日 - 1965年4月21日）は、イギリスの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Appleton.jpg,https://commons.wikimedia.org/wiki/File:Appleton.jpg
15,エドワード・アップルトン,エドワード・アップルトン,エドワード・アップルトン,full,物理,天文学,NA,NA,近代,1892,yes,男性,イギリス,物故,エドワード・ヴィクター・アップルトン（Sir Edward Victor Appleton、 1892年9月6日 - 1965年4月21日）は、イギリスの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Appleton.jpg,https://commons.wikimedia.org/wiki/File:Appleton.jpg
16,セシル・パウエル,パウエル,パウエル,family,物理,NA,NA,NA,現代,1903,yes,男性,イギリス,物故,セシル・フランク・パウエル（Cecil Frank Powell、1903年12月5日 - 1969年8月9日）は、イギリスの物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Cecil%20Powell.jpg,https://commons.wikimedia.org/wiki/File:Cecil_Powell.jpg
16,セシル・パウエル,セシル・パウエル,セシル・パウエル,full,物理,NA,NA,NA,現代,1903,yes,男性,イギリス,物故,セシル・フランク・パウエル（Cecil Frank Powell、1903年12月5日 - 1969年8月9日）は、イギリスの物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Cecil%20Powell.jpg,https://commons.wikimedia.org/wiki/File:Cecil_Powell.jpg
17,フェリックス・ブロッホ,ブロッホ,ブロッホ,family,物理,NA,NA,NA,現代,1905,yes,男性,アメリカ合衆国/スイス,物故,フェリックス・ブロッホ（Felix Bloch、 1905年10月23日 - 1983年9月10日）は、スイスのユダヤ系物理学者で、後にアメリカに移住し働いた。,http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Bloch%2C%20Felix%20%281905-1983%29-Portr%2003540.tif,https://commons.wikimedia.org/wiki/File:ETH-BIB-Bloch%2C_Felix_%281905-1983%29-Portr_03540.tif
17,フェリックス・ブロッホ,フェリックス・ブロッホ,フェリックス・ブロッホ,full,物理,NA,NA,NA,現代,1905,yes,男性,アメリカ合衆国/スイス,物故,フェリックス・ブロッホ（Felix Bloch、 1905年10月23日 - 1983年9月10日）は、スイスのユダヤ系物理学者で、後にアメリカに移住し働いた。,http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Bloch%2C%20Felix%20%281905-1983%29-Portr%2003540.tif,https://commons.wikimedia.org/wiki/File:ETH-BIB-Bloch%2C_Felix_%281905-1983%29-Portr_03540.tif
18,ヴァルター・ボーテ,ボーテ,ボーテ,family,物理,化学,数学,NA,近代,1891,yes,男性,ドイツ,物故,ヴァルター・ヴィルヘルム・ゲオルク・ボーテ (Walther Wilhelm Georg Bothe、 1891年1月8日 – 1957年2月8日)はドイツの物,http://commons.wikimedia.org/wiki/Special:FilePath/Bothe.jpg,https://commons.wikimedia.org/wiki/File:Bothe.jpg
18,ヴァルター・ボーテ,ヴァルター・ボーテ,ヴァルター・ボーテ,full,物理,化学,数学,NA,近代,1891,yes,男性,ドイツ,物故,ヴァルター・ヴィルヘルム・ゲオルク・ボーテ (Walther Wilhelm Georg Bothe、 1891年1月8日 – 1957年2月8日)はドイツの物,http://commons.wikimedia.org/wiki/Special:FilePath/Bothe.jpg,https://commons.wikimedia.org/wiki/File:Bothe.jpg
19,ウィリス・ラム,ラム,ラム,family,物理,NA,NA,NA,現代,1913,yes,男性,アメリカ合衆国,物故,ウィリス・ユージーン・ラム（Willis Eugene Lamb Jr.、 1913年7月12日 – 2008年5月15日）は、アメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Willis%20Lamb%201955.jpg,https://commons.wikimedia.org/wiki/File:Willis_Lamb_1955.jpg
19,ウィリス・ラム,ウィリス・ラム,ウィリス・ラム,full,物理,NA,NA,NA,現代,1913,yes,男性,アメリカ合衆国,物故,ウィリス・ユージーン・ラム（Willis Eugene Lamb Jr.、 1913年7月12日 – 2008年5月15日）は、アメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Willis%20Lamb%201955.jpg,https://commons.wikimedia.org/wiki/File:Willis_Lamb_1955.jpg
20,ポリカプ・クッシュ,クッシュ,クッシュ,family,物理,NA,NA,NA,現代,1911,yes,男性,アメリカ合衆国,物故,ポリカプ・クッシュ（Polykarp Kusch、1911年1月26日 - 1993年3月20日）はアメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Polykarp%20Kusch.jpg,https://commons.wikimedia.org/wiki/File:Polykarp_Kusch.jpg
20,ポリカプ・クッシュ,ポリカプ・クッシュ,ポリカプ・クッシュ,full,物理,NA,NA,NA,現代,1911,yes,男性,アメリカ合衆国,物故,ポリカプ・クッシュ（Polykarp Kusch、1911年1月26日 - 1993年3月20日）はアメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Polykarp%20Kusch.jpg,https://commons.wikimedia.org/wiki/File:Polykarp_Kusch.jpg
21,オーウェン・チェンバレン,チェンバレン,チェンバレン,family,物理,NA,NA,NA,現代,1920,yes,男性,アメリカ合衆国,物故,オーウェン・チェンバレン（Owen Chamberlain、 1920年7月10日 - 2006年2月28日）は、アメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Chamberlain.jpg,https://commons.wikimedia.org/wiki/File:Owen_Chamberlain.jpg
21,オーウェン・チェンバレン,オーウェン・チェンバレン,オーウェン・チェンバレン,full,物理,NA,NA,NA,現代,1920,yes,男性,アメリカ合衆国,物故,オーウェン・チェンバレン（Owen Chamberlain、 1920年7月10日 - 2006年2月28日）は、アメリカの物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Chamberlain.jpg,https://commons.wikimedia.org/wiki/File:Owen_Chamberlain.jpg
22,ドナルド・グレーザー,グレーザー,グレーザー,family,物理,NA,NA,NA,現代,1926,yes,男性,アメリカ合衆国,物故,ドナルド・アーサー・グレーザー（Donald Arthur Glaser、 1926年9月21日 - 2013年2月28日）は、アメリカ合衆国の物理学者、神経科,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Glaser.jpg,https://commons.wikimedia.org/wiki/File:Donald_Glaser.jpg
22,ドナルド・グレーザー,ドナルド・グレーザー,ドナルド・グレーザー,full,物理,NA,NA,NA,現代,1926,yes,男性,アメリカ合衆国,物故,ドナルド・アーサー・グレーザー（Donald Arthur Glaser、 1926年9月21日 - 2013年2月28日）は、アメリカ合衆国の物理学者、神経科,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Glaser.jpg,https://commons.wikimedia.org/wiki/File:Donald_Glaser.jpg
23,ロバート・ホフスタッター,ホフスタッター,ホフスタッター,family,物理,NA,NA,NA,現代,1915,yes,男性,アメリカ合衆国,物故,ロバート・ホフスタッター（Robert Hofstadter、1915年2月5日 ニューヨーク生まれ - 1990年11月17日 スタンフォード没) はアメリカ,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hofstadter.jpg,https://commons.wikimedia.org/wiki/File:Robert_Hofstadter.jpg
