id,original,surface,pronunciation
0,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ
1,ハジロコチドリ,ハジロコチドリ,ハジロコチドリ
2,ペルージアリドリ,ペルージアリドリ,ペルージアリドリ
3,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ
4,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ
5,ダスキーティティ,ダスキーティティ,ダスキーティティ
6,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ
7,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ
8,ミナミヤブハエトリ,ミナミヤブハエトリ,ミナミヤブハエトリ
9,クリバネコウウチョウ,クリバネコウウチョウ,クリバネコウウチョウ
10,マエツ,マエツ,マエツ
11,アラビアイワシャコ,アラビアイワシャコ,アラビアイワシャコ
12,マミジロアジサシ,マミジロアジサシ,マミジロアジサシ
13,ハイボウシヒラハシハエトリ,ハイボウシヒラハシハエトリ,ハイボウシヒラハシハエトリ
14,キガタハゴロモガラス,キガタハゴロモガラス,キガタハゴロモガラス
15,キノボリカマドドリ,キノボリカマドドリ,キノボリカマドドリ
16,キタヌマコトンラット,キタヌマコトンラット,キタヌマコトンラット
17,オオモリクイナ,オオモリクイナ,オオモリクイナ
18,ブラジルノロマウス,ブラジルノロマウス,ブラジルノロマウス
19,ホソオヤマアラシ,ホソオヤマアラシ,ホソオヤマアラシ
20,メグミジネズミ,メグミジネズミ,メグミジネズミ
21,ミミジロカササギビタキ,ミミジロカササギビタキ,ミミジロカササギビタキ
22,ズアカアカムシクイ,ズアカアカムシクイ,ズアカアカムシクイ
23,オナガセアオマイコドリ,オナガセアオマイコドリ,オナガセアオマイコドリ
24,エゾライチョウ,エゾライチョウ,エゾライチョウ
25,アオマメガン,アオマメガン,アオマメガン
26,コビトハツカネズミ,コビトハツカネズミ,コビトハツカネズミ
27,カゼトゲタナゴ,カゼトゲタナゴ,カゼトゲタナゴ
