id,original,surface,pronunciation
0,相老,相老,あいおい
1,相生,相生,あいおい
2,相生,相生,あいおい
3,相生山,相生山,あいおいやま
4,相賀,相賀,あいが
5,秋鹿町,秋鹿町,あいかまち
6,合川,合川,あいかわ
7,相川,相川,あいかわ
8,愛環梅坪,愛環梅坪,あいかんうめつぼ
9,愛甲石田,愛甲石田,あいこういしだ
10,愛山,愛山,あいざん
11,愛大医学部南口,愛大医学部南口,あいだいいがくぶみなみぐち
12,愛・地球博記念公園,愛・地球博記念公園,あい・ちきゅうはくきねんこうえん
13,愛知大学前,愛知大学前,あいちだいがくまえ
14,愛知御津,愛知御津,あいちみと
15,会津荒海,会津荒海,あいづあらかい
16,会津大塩,会津大塩,あいづおおしお
17,会津蒲生,会津蒲生,あいづがもう
18,会津川口,会津川口,あいづかわぐち
19,相月,相月,あいづき
20,会津高原尾瀬口,会津高原尾瀬口,あいづこうげんおぜぐち
21,会津越川,会津越川,あいづこすがわ
22,会津坂本,会津坂本,あいづさかもと
23,会津山村道場,会津山村道場,あいづさんそんどうじょう
24,会津塩沢,会津塩沢,あいづしおざわ
25,会津下郷,会津下郷,あいづしもごう
26,会津高田,会津高田,あいづたかだ
27,会津田島,会津田島,あいづたじま
28,会津豊川,会津豊川,あいづとよかわ
29,会津中川,会津中川,あいづなかがわ
30,会津長野,会津長野,あいづながの
31,会津西方,会津西方,あいづにしかた
32,会津坂下,会津坂下,あいづばんげ
33,会津桧原,会津桧原,あいづひのはら
34,会津本郷,会津本郷,あいづほんごう
35,逢妻,逢妻,あいづま
36,会津水沼,会津水沼,あいづみずぬま
37,会津宮下,会津宮下,あいづみやした
38,会津柳津,会津柳津,あいづやないづ
39,会津横田,会津横田,あいづよこた
40,会津若松,会津若松,あいづわかまつ
41,藍那,藍那,あいな
42,愛野,愛野,あいの
43,相野,相野,あいの
44,愛野,愛野,あいの
45,相浦,相浦,あいのうら
46,相ノ木,相ノ木,あいのき
47,あいの里教育大,あいの里教育大,あいのさときょういくだい
48,あいの里公園,あいの里公園,あいのさとこうえん
49,相内,相内,あいのない
50,相野々,相野々,あいのの
51,相原,相原,あいはら
52,愛別,愛別,あいべつ
53,相見,相見,あいみ
54,愛本,愛本,あいもと
55,藍本,藍本,あいもと
56,姶良,姶良,あいら
57,アイランド北口,アイランド北口,あいらんどきたぐち
58,アイランドセンター,アイランドセンター,あいらんどせんたー
59,粟生,粟生,あお
60,青井,青井,あおい
61,青井岳,青井岳,あおいだけ
62,粟生津,粟生津,あおうづ
63,青倉,青倉,あおくら
64,青笹,青笹,あおざさ
65,青島,青島,あおしま
66,青塚,青塚,あおつか
67,青砥,青砥,あおと
68,青沼,青沼,あおぬま
69,青野ヶ原,青野ヶ原,あおのがはら
70,青郷,青郷,あおのごう
71,青野山,青野山,あおのやま
72,青葉,青葉,あおば
73,青葉台,青葉台,あおばだい
74,あおば通,あおば通,あおばどおり
75,青原,青原,あおはら
76,青部,青部,あおべ
77,青海,青海,あおみ
78,青堀,青堀,あおほり
79,青物横丁,青物横丁,あおものよこちょう
80,青森,青森,あおもり
81,青谷,青谷,あおや
82,青柳,青柳,あおやぎ
83,青柳町,青柳町,あおやぎちょう
84,青山,青山,あおやま
85,青山,青山,あおやま
86,青山,青山,あおやま
87,青山一丁目,青山一丁目,あおやまいっちょうめ
88,青山町,青山町,あおやまちょう
89,赤,赤,あか
90,赤井,赤井,あかい
91,赤井川,赤井川,あかいがわ
92,赤池,赤池,あかいけ
93,赤池,赤池,あかいけ
94,赤池,赤池,あかいけ
95,赤岩,赤岩,あかいわ
96,赤岩口,赤岩口,あかいわぐち
97,あかおか,あかおか,あかおか
98,赤川,赤川,あかがわ
99,赤城,赤城,あかぎ
100,赤木,赤木,あかぎ
101,赤倉温泉,赤倉温泉,あかくらおんせん
102,赤坂,赤坂,あかさか
103,赤坂,赤坂,あかさか
104,赤坂,赤坂,あかさか
105,赤坂,赤坂,あかさか
106,赤坂上,赤坂上,あかさかうえ
107,赤坂田,赤坂田,あかさかた
108,赤坂見附,赤坂見附,あかさかみつけ
109,赤碕,赤碕,あかさき
110,赤迫,赤迫,あかさこ
111,明石,明石,あかし
112,明科,明科,あかしな
113,赤瀬,赤瀬,あかせ
114,県,県,あがた
115,あかぢ,あかぢ,あかぢ
116,赤塚,赤塚,あかつか
117,明塚,明塚,あかつか
118,暁学園前,暁学園前,あかつきがくえんまえ
119,赤土小学校前,赤土小学校前,あかどしょうがっこうまえ
120,赤野,赤野,あかの
121,吾野,吾野,あがの
122,赤羽,赤羽,あかばね
123,赤羽岩淵,赤羽岩淵,あかばねいわぶち
124,赤羽橋,赤羽橋,あかばねばし
125,赤平,赤平,あかびら
126,赤渕,赤渕,あかぶち
127,英賀保,英賀保,あがほ
128,赤星,赤星,あかぼし
129,赤堀,赤堀,あかほり
130,赤間,赤間,あかま
131,赤水,赤水,あかみず
132,赤嶺,赤嶺,あかみね
133,赤目口,赤目口,あかめぐち
134,赤湯,赤湯,あかゆ
135,上道,上道,あがりみち
136,阿川,阿川,あがわ
137,安芸,安芸,あき
138,阿木,阿木,あぎ
139,安芸阿賀,安芸阿賀,あきあが
140,秋川,秋川,あきがわ
141,安芸川尻,安芸川尻,あきかわじり
142,安芸幸崎,安芸幸崎,あきさいざき
143,昭島,昭島,あきしま
144,秋田,秋田,あきた
145,あきた白神,あきた白神,あきたしらかみ
146,秋津,秋津,あきつ
147,安芸津,安芸津,あきつ
148,安芸長束,安芸長束,あきながつか
149,安芸中野,安芸中野,あきなかの
150,安芸長浜,安芸長浜,あきながはま
151,秋葉原,秋葉原,あきはばら
152,安芸矢口,安芸矢口,あきやぐち
153,秋山,秋山,あきやま
154,鮎喰,鮎喰,あくい
155,阿久比,阿久比,あぐい
156,阿久根,阿久根,あくね
157,阿倉川,阿倉川,あくらがわ
158,上ゲ,上ゲ,あげ
159,上尾,上尾,あげお
160,阿下喜,阿下喜,あげき
161,明智,明智,あけち
162,明智,明智,あけち
163,明戸,明戸,あけと
164,明野,明野,あけの
165,曙町,曙町,あけぼのちょう
166,曙町東町,曙町東町,あけぼのちょうひがしまち
167,曙橋,曙橋,あけぼのばし
168,上松,上松,あげまつ
169,安子ヶ島,安子ヶ島,あこがしま
170,阿漕,阿漕,あこぎ
171,厚狭,厚狭,あさ
172,朝霞,朝霞,あさか
173,浅香,浅香,あさか
174,朝霞台,朝霞台,あさかだい
175,安積永盛,安積永盛,あさかながもり
176,阿佐ヶ谷,阿佐ヶ谷,あさがや
177,浅香山,浅香山,あさかやま
178,浅川,浅川,あさかわ
179,浅岸,浅岸,あさぎし
180,朝霧,朝霧,あさぎり
181,あさぎり,あさぎり,あさぎり
182,浅草,浅草,あさくさ
183,浅草橋,浅草橋,あさくさばし
184,朝倉,朝倉,あさくら
185,朝倉,朝倉,あさくら
186,朝倉,朝倉,あさくら
187,朝倉駅前,朝倉駅前,あさくらえきまえ
188,朝倉街道,朝倉街道,あさくらがいどう
189,朝倉神社前,朝倉神社前,あさくらじんじゃまえ
190,朝地,朝地,あさじ
191,朝潮橋,朝潮橋,あさしおばし
192,安里,安里,あさと
193,朝菜町,朝菜町,あさなまち
194,浅海,浅海,あさなみ
195,浅野,浅野,あさの
196,旭,旭,あさひ
197,朝陽,朝陽,あさひ
198,朝日,朝日,あさひ
199,旭,旭,あさひ
200,旭駅前通,旭駅前通,あさひえきまえどおり
201,朝日大塚,朝日大塚,あさひおおつか
202,旭ヶ丘,旭ヶ丘,あさひがおか
203,旭ヶ丘,旭ヶ丘,あさひがおか
204,朝日ヶ丘,朝日ヶ丘,あさひがおか
205,旭ヶ丘,旭ヶ丘,あさひがおか
206,旭川,旭川,あさひかわ
