id,original,surface,pronunciation,type,org,debut_year,status
0,826aska,826aska,ハチニイロクアスカ,full,NA,2010,current
1,96猫,96猫,クロネコ,full,NA,2006,current
2,ARuFa,ARuFa,アルファ,full,NA,NA,current
3,Akidearest,Akidearest,アキディアレスト,full,NA,2014,current
4,AlffyRev,Alffy,アルフィー,family,NA,NA,current
4,AlffyRev,Rev,レヴ,given,NA,NA,current
4,AlffyRev,AlffyRev,アルフィーレヴ,full,NA,NA,current
5,島村絢沙,島村,シマムラ,family,East Of Eden,NA,current
5,島村絢沙,絢沙,アヤサ,given,East Of Eden,NA,current
5,島村絢沙,島村絢沙,シマムラアヤサ,full,East Of Eden,NA,current
6,BucketBanquetBis,BucketBanquetBis,バケット・バンケット・ビス,full,NA,NA,current
7,Butch,Butch,ブッチ,full,NA,NA,current
8,CDawgVA,CDawgVA,シードッグ・ヴィーエー,full,NA,NA,current
9,Cr1TiKaL,Cr1TiKaL,クリティカル,full,NA,2007,current
10,DaiGo,DaiGo,ダイゴ,full,NA,NA,current
11,Daichi,Daichi,ダイチ,full,NA,NA,current
12,Etika,Etika,エティカ,full,NA,2012,former
13,Fernanfloo,Fernanfloo,フェルナンフロウ,full,NA,2011,current
14,佐藤隆彦,佐藤,サトウ,family,NA,NA,current
14,佐藤隆彦,隆彦,タカヒコ,given,NA,NA,current
14,佐藤隆彦,佐藤隆彦,サトウタカヒコ,full,NA,NA,current
15,GUNMA-17,GUNMA-17,グンマイチナナ,full,NA,NA,current
16,GabiSklar,Gabi,ガビ,family,NA,2015,current
16,GabiSklar,Sklar,スクラー,given,NA,2015,current
16,GabiSklar,GabiSklar,ガビスクラー,full,NA,2015,current
17,GamerGrandma,GamerGrandma,ゲーマーグランマ,full,NA,2014,current
18,Genの炊事場,Genの炊事場,ゲンノスイジバ,full,NA,NA,current
19,HIKAKIN,HIKAKIN,ヒカキン,full,吉池,2006,current
20,HIMAWARIちゃんねる,HIMAWARIちゃんねる,ヒマワリチャンネル,full,NA,NA,current
21,IchikaNito,Ichika,イチカ,family,Dios,NA,current
21,IchikaNito,Nito,ニト,given,Dios,NA,current
21,IchikaNito,IchikaNito,イチカニト,full,Dios,NA,current
22,KAZUYA,KAZUYA,カズヤ,full,NA,2012,current
23,KO-ney,KO-ney,コーニー,full,NA,2020,current
24,KUN,KUN,クン,full,NA,2013,current
25,Killin9Hit,Killin9Hit,キリングヒット,full,NA,NA,current
26,LeftyHandCream,LeftyHandCream,レフティーハンドクリーム,full,NA,2014,current
27,LiLi,LiLi,リリ,full,NA,NA,current
28,LiaqN,LiaqN,リアン,full,NA,NA,current
29,MARIMO。,MARIMO。,マリモ,full,NA,NA,current
30,MEGWIN,MEGWIN,メグウィン,full,NA,NA,current
31,MINAMI,MINAMI,ミナミ,full,NA,NA,current
32,Masuo,Masuo,マスオ,full,NA,2012,current
33,MindaRyn,MindaRyn,マイダリン,full,NA,2020,current
34,Motomu,Motomu,モトム,full,NA,2016,current
35,Mxmtoon,Mxmtoon,エムエックスエムトゥーン,full,NA,2017,current
36,Namewee,Namewee,ネームウィー,full,NA,2007,current
37,NekonoMECafe,NekonoMECafe,ネコノメカフェ,full,NA,NA,current
38,NileRed,NileRed,ナイルレッド,full,NA,NA,current
39,POOH熊谷,POOH熊谷,プークマガイ,full,NA,NA,current
40,Philza,Philza,フィルザ,full,Dream SMP,NA,current
41,Pii,Pii,ピィ,full,NA,2021,current
42,P丸様。,P丸様。,ピーマルサマ,full,NA,NA,current
43,QPark,Q,キュー,family,メリルリンチ,NA,current
43,QPark,Park,パーク,given,メリルリンチ,NA,current
43,QPark,QPark,キューパーク,full,メリルリンチ,NA,current
44,QrazyChocolate,QrazyChocolate,クレイジーチョコレート,full,NA,NA,current
45,REDMemory,REDMemory,レッドメモリー,full,NA,NA,current
46,RiceGum,RiceGum,ライスガム,full,NA,NA,current
47,Rちゃん,Rちゃん,アールチャン,full,NA,NA,current
48,高山沙織,高山,タカヤマ,family,NA,NA,current
48,高山沙織,沙織,サオリ,given,NA,NA,current
48,高山沙織,高山沙織,タカヤマサオリ,full,NA,NA,current
49,SEIKIN,SEIKIN,セイキン,full,NA,2012,current
50,SHAKA,SHAKA,シャカ,full,ZETA DIVISION,NA,current
51,SPYGEA,SPYGEA,スパイギア,full,NA,NA,current
52,Sharla,Sharla,シャーラ,full,NA,NA,current
53,SkyDoesMinecraft,SkyDoesMinecraft,スカイダズマインクラフト,full,NA,NA,current
54,Swind,Swind,スインド,full,NA,NA,current
55,森宮惺,森宮,モリミヤ,family,講談社,NA,current
55,森宮惺,惺,サトル,given,講談社,NA,current
55,森宮惺,森宮惺,モリミヤサトル,full,講談社,NA,current
56,UraN,UraN,ウラン,full,NA,NA,current
57,あいすけ,あいすけ,アイスケ,full,NA,NA,current
